Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetected;HighConfidence;HandPosition_x;HandPosition_y;HandPosition_z;HandRotation_x;HandRotation_y;HandRotation_z;HandVelocity_x;HandVelocity_y;HandVelocity_z;WristTwist;IsPinchGrabbing;IsPalmGrabbing;IsAutogripGrabbing;StrengthThumbIndex;StrengthThumbMiddle;StrengthThumbRing;StrengthThumbPinky;StrengthPalmIndex;StrengthPalmMiddle;StrengthPalmRing;StrengthPalmPinky;GrabIdentifier;MovedCorrectly
1435;1,819999;-0,0021;0,7087;0,0155;27,3195;4,2626;5,1014;True;True;0,2060;0,4121;0,2888;6,8712;79,2853;357,8531;-0,0748;-0,1383;-0,0921;-161,4892;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
1445;1,959999;-0,0024;0,7085;0,0169;27,3825;3,3349;4,5490;True;True;0,2053;0,3935;0,2996;8,3470;73,8544;357,3116;-0,0541;0,0975;0,0142;-162,2366;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;d4f877b4-61c4-4722-91fa-ea9d35085a7d;False;
1455;2,099999;-0,0032;0,7079;0,0165;27,7110;2,9357;4,2147;True;True;0,1588;0,4877;0,3019;9,2936;68,1466;342,4114;-0,2573;0,4278;0,0214;-159,7738;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;d4f877b4-61c4-4722-91fa-ea9d35085a7d;False;
1465;2,239999;-0,0054;0,7093;0,0153;27,1690;2,5681;4,1033;True;True;0,0914;0,5091;0,2875;16,0369;58,5501;334,0284;-0,3957;-0,1396;-0,0081;-161,3649;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;d4f877b4-61c4-4722-91fa-ea9d35085a7d;False;
1470;2,299999;-0,0062;0,7094;0,0152;27,0586;2,1500;3,9529;True;True;0,0563;0,4892;0,2818;18,6283;49,6380;333,5203;-0,6694;-0,4436;-0,1785;-160,0421;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;d4f877b4-61c4-4722-91fa-ea9d35085a7d;False;
1475;2,379998;-0,0064;0,7098;0,0153;26,9451;1,8346;3,8304;True;True;0,0396;0,4574;0,2831;19,1086;43,9778;343,4240;-0,0524;-0,3177;0,0465;-158,2704;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;d4f877b4-61c4-4722-91fa-ea9d35085a7d;False;
1480;2,439998;-0,0060;0,7099;0,0162;26,9150;1,9582;3,6178;True;True;0,0458;0,4262;0,2823;15,6090;43,8993;359,1819;0,2401;-0,5655;-0,0552;-161,9828;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
1485;2,519998;-0,0047;0,7089;0,0170;27,1617;2,5891;3,9441;True;True;0,0710;0,4184;0,2872;17,5315;42,6604;3,9174;0,4216;0,0015;0,1449;-159,7447;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;True;
1490;2,579998;-0,0021;0,7079;0,0170;27,6213;4,0109;4,4308;True;True;0,1154;0,4382;0,2730;17,6419;41,6601;355,3054;0,9510;0,6527;-0,5148;-156,6246;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
1495;2,659998;0,0017;0,7072;0,0166;27,8558;6,2301;5,1631;True;True;0,1627;0,4636;0,2705;16,6326;51,8046;353,6320;0,4209;0,1653;0,0793;-158,1786;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
1500;2,719998;0,0060;0,7067;0,0168;27,8916;8,7274;6,2665;True;True;0,2281;0,4768;0,2573;10,8888;67,1705;2,9695;1,0471;0,1889;-0,3608;-163,3457;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
1505;2,799998;0,0089;0,7062;0,0173;28,1316;9,9808;6,8951;True;True;0,2794;0,4722;0,2474;4,2518;72,0858;7,3333;0,5371;-0,0170;-0,0853;-165,7520;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
1510;2,859998;0,0115;0,7057;0,0165;28,3401;10,5234;6,9250;True;True;0,3051;0,4430;0,2470;355,9818;73,4250;6,7305;0,3517;-0,9979;0,0804;-164,7889;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
1515;2,939998;0,0134;0,7060;0,0158;28,3006;10,8797;6,7177;True;True;0,3267;0,3994;0,2660;356,0381;70,6787;8,9847;0,2439;-0,2799;0,2191;-157,9969;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
