Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetected;HighConfidence;HandPosition_x;HandPosition_y;HandPosition_z;HandRotation_x;HandRotation_y;HandRotation_z;HandVelocity_x;HandVelocity_y;HandVelocity_z;WristTwist;IsPinchGrabbing;IsPalmGrabbing;IsAutogripGrabbing;StrengthThumbIndex;StrengthThumbMiddle;StrengthThumbRing;StrengthThumbPinky;StrengthPalmIndex;StrengthPalmMiddle;StrengthPalmRing;StrengthPalmPinky;GrabIdentifier;MovedCorrectly
8145;0,08;0,0168;0,7324;0,0426;17,6848;10,0598;359,7494;True;True;0,2340;0,5128;0,1788;3,1750;71,9586;317,9701;-0,0681;-0,0980;0,0625;146,7083;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
8155;0,22;0,0160;0,7335;0,0401;16,8168;8,5928;359,0460;True;True;0,2187;0,4966;0,1989;10,3882;59,1667;319,0302;0,0304;0,0430;0,0732;-152,4415;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
8160;0,3;0,0142;0,7324;0,0400;17,5377;7,8464;359,0734;True;True;0,2168;0,4973;0,1990;7,8327;62,3358;316,3261;-0,0326;0,0030;-0,0221;-150,9607;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
8165;0,36;0,0126;0,7303;0,0414;18,6103;7,7222;359,4392;True;True;0,2157;0,4994;0,1993;10,2086;62,0373;316,5890;0,0032;0,0383;0,0230;-150,6667;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
8170;0,4400001;0,0114;0,7289;0,0440;19,3386;8,1076;0,3032;True;True;0,2173;0,5014;0,1974;12,9744;64,0621;320,0928;0,0221;-0,0002;-0,0176;-152,4428;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
8175;0,5000001;0,0107;0,7269;0,0464;20,4580;8,1796;0,5053;True;True;0,2186;0,4971;0,2043;24,6979;66,9980;333,7740;0,0292;-0,1680;0,3009;-158,2125;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
8180;0,58;0,0104;0,7252;0,0493;21,4039;8,2664;0,5712;True;True;0,2067;0,4867;0,2148;24,2311;63,5350;348,3701;-0,3818;-0,3396;0,1377;-169,9784;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
8185;0,6399999;0,0097;0,7233;0,0521;22,0507;8,4202;0,5840;True;True;0,1711;0,4394;0,2357;10,2997;63,8390;358,8513;-0,6216;-0,6638;0,2536;-167,4155;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
8190;0,7199998;0,0072;0,7214;0,0547;22,9930;7,9175;0,8148;True;True;0,1517;0,4103;0,2378;10,9288;66,3201;6,6981;-0,1762;-0,3085;-0,0177;-171,2625;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
8195;0,7799998;0,0033;0,7205;0,0585;23,3846;7,1062;0,8726;True;True;0,1453;0,3954;0,2364;25,3830;65,1592;4,0756;0,1265;0,0186;-0,0297;-171,2370;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
