Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetected;HighConfidence;HandPosition_x;HandPosition_y;HandPosition_z;HandRotation_x;HandRotation_y;HandRotation_z;HandVelocity_x;HandVelocity_y;HandVelocity_z;WristTwist;IsPinchGrabbing;IsPalmGrabbing;IsAutogripGrabbing;StrengthThumbIndex;StrengthThumbMiddle;StrengthThumbRing;StrengthThumbPinky;StrengthPalmIndex;StrengthPalmMiddle;StrengthPalmRing;StrengthPalmPinky;GrabIdentifier;MovedCorrectly
15035;0,02;-0,0055;0,7213;0,0562;20,0228;2,1159;359,8377;True;True;0,2337;0,4709;0,1954;24,9737;59,8564;305,4670;11,6846;23,5429;9,7723;-146,4093;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
15040;0,09999999;-0,0062;0,7216;0,0557;19,7980;1,0688;359,2736;True;True;0,2343;0,4702;0,1963;24,1911;60,2746;305,6736;0,0033;-0,0012;0,0025;-146,7190;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
15045;0,18;-0,0062;0,7219;0,0551;19,8412;0,8501;359,1645;True;True;0,2346;0,4701;0,1954;22,9013;61,8874;306,6711;0,0000;0,0035;-0,0174;-146,3055;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
15055;0,32;-0,0052;0,7205;0,0550;20,3854;1,2142;359,1071;True;True;0,2355;0,4707;0,1940;22,2161;63,8011;308,4984;-0,0073;-0,0006;-0,0086;-147,6301;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
15065;0,4600001;-0,0030;0,7179;0,0560;21,7478;2,2180;359,3252;True;True;0,2234;0,4659;0,1941;20,4696;55,6541;313,9742;-0,4064;-0,1330;0,0338;-150,6250;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
15075;0,6;-0,0012;0,7149;0,0558;23,1815;3,0833;359,2760;True;True;0,1637;0,4482;0,2154;23,4899;54,2628;332,5359;-0,3238;-0,1293;0,2459;-157,9982;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
15085;0,7399998;-0,0055;0,7162;0,0548;22,7334;2,4378;359,4677;True;True;0,1217;0,3936;0,2467;20,2725;59,5483;355,5778;-0,0601;-0,1757;-0,1469;-160,1641;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
15095;0,8799997;-0,0127;0,7171;0,0556;22,2553;0,9127;359,7285;True;True;0,1338;0,4129;0,2489;21,1120;61,8423;354,8659;0,1285;0,3684;0,1296;-168,2502;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;fb819308-02b7-4f80-acde-4b08de4d85dd;False;
15105;1,02;-0,0123;0,7195;0,0523;21,6208;0,7466;359,6477;True;True;0,1109;0,4982;0,2674;22,9939;52,5008;323,4377;-0,2628;0,0500;0,0503;-164,6523;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;fb819308-02b7-4f80-acde-4b08de4d85dd;False;
15115;1,159999;-0,0111;0,7232;0,0469;19,8702;0,1739;359,6977;True;True;0,0151;0,4376;0,2583;28,0496;31,4935;320,0880;0,0539;-0,4908;-0,2037;-151,1517;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;fb819308-02b7-4f80-acde-4b08de4d85dd;False;
15120;1,219999;-0,0124;0,7257;0,0449;18,5614;0,0280;359,2716;True;True;0,0211;0,4111;0,2487;27,6451;35,2252;344,0289;0,1647;-0,4643;-0,0700;-158,7601;True;False;False;1,0000;1,0000;1,0000;0,8796;0,0000;0,0000;0,0000;0,0000;fb819308-02b7-4f80-acde-4b08de4d85dd;False;
15125;1,299999;-0,0147;0,7274;0,0437;17,7158;359,6974;359,2912;True;True;0,0528;0,4084;0,2555;24,7754;37,7768;352,9659;0,5793;0,1275;0,0039;-162,6693;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;True;
15130;1,359999;-0,0158;0,7277;0,0414;17,6879;359,3419;359,5535;True;True;0,0821;0,4131;0,2655;29,2957;45,4192;346,4257;0,5027;0,0365;0,2875;-162,5125;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
