Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetected;HighConfidence;HandPosition_x;HandPosition_y;HandPosition_z;HandRotation_x;HandRotation_y;HandRotation_z;HandVelocity_x;HandVelocity_y;HandVelocity_z;WristTwist;IsPinchGrabbing;IsPalmGrabbing;IsAutogripGrabbing;StrengthThumbIndex;StrengthThumbMiddle;StrengthThumbRing;StrengthThumbPinky;StrengthPalmIndex;StrengthPalmMiddle;StrengthPalmRing;StrengthPalmPinky;GrabIdentifier;MovedCorrectly
21880;0,06;0,0167;0,7228;0,0633;15,7461;2,2393;359,1102;True;True;0,2459;0,3468;0,2285;34,8492;31,1312;286,1973;-0,0854;0,1704;0,0787;-133,6505;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
21885;0,14;0,0141;0,7218;0,0646;16,0539;1,6499;359,1680;True;True;0,2483;0,3538;0,2294;32,8861;32,9289;285,6704;0,0255;0,0393;-0,0428;-132,8543;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
21890;0,22;0,0109;0,7205;0,0659;16,5180;1,0321;359,0100;True;True;0,2333;0,3986;0,2006;32,2282;21,2863;274,7777;-0,2143;0,5405;-0,3339;-132,9196;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
21900;0,36;0,0069;0,7172;0,0646;18,6562;1,3954;359,1585;True;True;0,2219;0,4184;0,1737;48,2119;28,3941;273,2136;-0,0234;-0,0539;0,0690;-147,3746;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
21910;0,5000001;0,0086;0,7119;0,0659;21,6381;5,7768;0,2102;True;True;0,2395;0,4290;0,2194;36,1822;45,2925;293,8127;0,1096;-0,0489;0,0785;-144,8073;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
21915;0,56;0,0091;0,7093;0,0683;23,0218;8,0923;0,7125;True;True;0,2469;0,4318;0,2252;25,9620;63,5484;314,5687;0,1223;0,0828;0,1466;-148,0416;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
21920;0,6399999;0,0081;0,7066;0,0703;24,2488;9,7512;1,2254;True;True;0,2414;0,4216;0,2396;5,7823;70,8977;336,5296;-0,0729;-0,1923;0,1372;-152,2472;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
21925;0,6999999;0,0054;0,7046;0,0719;25,0707;10,7749;1,6713;True;True;0,2349;0,3850;0,2492;4,3059;70,2348;355,8531;-0,0287;-0,6525;0,1059;-158,4223;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
21930;0,7799998;0,0021;0,7036;0,0739;25,2575;11,0573;1,9335;True;True;0,2190;0,3943;0,2478;7,7327;69,9159;355,6685;-0,2830;0,2436;0,0583;-161,0860;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
21935;0,8399997;-0,0004;0,7025;0,0749;25,9218;10,4949;2,2126;True;True;0,1971;0,4441;0,2690;15,9584;70,5009;340,2143;-0,3368;0,8327;0,7248;-166,9340;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
