Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetected;HighConfidence;HandPosition_x;HandPosition_y;HandPosition_z;HandRotation_x;HandRotation_y;HandRotation_z;HandVelocity_x;HandVelocity_y;HandVelocity_z;WristTwist;IsPinchGrabbing;IsPalmGrabbing;IsAutogripGrabbing;StrengthThumbIndex;StrengthThumbMiddle;StrengthThumbRing;StrengthThumbPinky;StrengthPalmIndex;StrengthPalmMiddle;StrengthPalmRing;StrengthPalmPinky;GrabIdentifier;MovedCorrectly
28740;0,02;0,0240;0,7141;0,0147;10,5633;0,0695;356,7025;True;True;0,2299;0,3582;0,2663;12,9214;62,6854;283,9944;11,4961;17,9093;13,3155;-112,0739;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
28750;0,16;0,0234;0,7126;0,0154;11,4290;0,1826;356,8705;True;True;0,2288;0,3591;0,2647;13,0960;62,0755;284,4221;-0,0152;0,0102;-0,0144;-111,9061;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
28755;0,24;0,0232;0,7116;0,0164;12,2499;0,4842;356,9327;True;True;0,2286;0,3593;0,2647;12,8108;62,5225;284,2560;0,0014;-0,0003;0,0050;-111,8039;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
28760;0,3;0,0225;0,7086;0,0187;14,5094;1,6212;356,8170;True;True;0,2287;0,3589;0,2654;12,7633;62,5058;284,6227;0,0063;0,0107;0,0030;-111,9866;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
28765;0,38;0,0218;0,7041;0,0231;17,4015;3,3828;357,9301;True;True;0,2245;0,3658;0,2647;15,0464;60,1493;287,9662;-0,0880;0,1173;-0,0119;-114,1947;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
28770;0,4400001;0,0209;0,6994;0,0279;19,6757;4,9576;358,7582;True;True;0,2183;0,3785;0,2532;16,9952;60,1575;304,2276;0,0768;0,2332;-0,3365;-125,1540;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
28775;0,52;0,0186;0,6958;0,0322;21,3989;6,1550;358,9527;True;True;0,2054;0,3903;0,2409;14,3122;66,5407;325,0508;-0,3480;0,0710;-0,1425;-139,5289;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
28780;0,58;0,0148;0,6932;0,0357;23,0361;6,8650;359,6087;True;True;0,1875;0,3999;0,2520;16,2989;81,5289;347,6548;0,0508;0,2597;0,6075;-153,7464;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
28785;0,6599999;0,0105;0,6926;0,0411;23,2098;6,9050;0,1176;True;True;0,1967;0,4082;0,2786;14,1239;82,1045;355,7464;0,0163;0,0217;0,1086;-166,1658;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
28790;0,7199998;0,0081;0,6921;0,0451;24,0733;6,6115;0,2020;True;True;0,1559;0,4594;0,2849;13,6670;71,8942;340,5204;-1,2648;1,7773;0,1507;-164,1433;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
28795;0,7999998;0,0062;0,6924;0,0487;24,3680;6,4209;359,9278;True;True;0,0962;0,4880;0,2849;15,6292;61,8955;325,9522;-0,8555;0,0360;0,0133;-161,4012;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;37aba3a0-4f4a-48e1-adce-c4427aedece6;False;
